imprints, number stable, percent unstable
1, 1.000000, 0.000000
2, 2.000000, 0.000000
3, 3.000000, 0.000000
4, 4.000000, 0.000000
5, 5.000000, 0.000000
6, 6.000000, 0.000000
7, 7.000000, 0.000000
8, 8.000000, 0.000000
9, 9.000000, 0.000000
10, 10.000000, 0.000000
11, 11.000000, 0.000000
12, 10.250000, 0.145833
13, 11.500000, 0.115385
14, 10.750000, 0.232143
15, 8.250000, 0.450000
16, 8.750000, 0.453125
17, 7.500000, 0.558824
18, 7.750000, 0.569444
19, 6.750000, 0.644737
20, 6.750000, 0.662500
21, 5.500000, 0.738095
22, 4.750000, 0.784091
23, 3.750000, 0.836957
24, 4.500000, 0.812500
25, 4.000000, 0.840000
26, 3.000000, 0.884615
27, 2.500000, 0.907407
28, 3.250000, 0.883929
29, 2.250000, 0.922414
30, 0.750000, 0.975000
31, 1.250000, 0.959677
32, 1.750000, 0.945312
33, 0.000000, 1.000000
34, 0.000000, 1.000000
35, 0.000000, 1.000000
36, 0.000000, 1.000000
37, 0.000000, 1.000000
38, 0.000000, 1.000000
39, 0.000000, 1.000000
40, 0.000000, 1.000000
41, 0.000000, 1.000000
42, 0.000000, 1.000000
43, 0.000000, 1.000000
44, 0.000000, 1.000000
45, 0.000000, 1.000000
46, 0.000000, 1.000000
47, 0.000000, 1.000000
48, 0.000000, 1.000000
49, 0.000000, 1.000000
